Vds,Vgs,Ids,W,L,T
0.1,-20.0,2.5495e-12,10,10,80
0.1,-19.8,2.5495e-12,10,10,80
0.1,-19.6,2.5495e-12,10,10,80
0.1,-19.4,2.5495e-12,10,10,80
0.1,-19.2,2.5495e-12,10,10,80
0.1,-19.0,2.5495e-12,10,10,80
0.1,-18.8,2.5495e-12,10,10,80
0.1,-18.6,2.5495e-12,10,10,80
0.1,-18.4,2.5495e-12,10,10,80
0.1,-18.2,2.5495e-12,10,10,80
0.1,-18.0,2.5495e-12,10,10,80
0.1,-17.8,2.5495e-12,10,10,80
0.1,-17.6,2.5495e-12,10,10,80
0.1,-17.4,2.5495e-12,10,10,80
0.1,-17.2,2.5495e-12,10,10,80
0.1,-17.0,2.5495e-12,10,10,80
0.1,-16.8,2.5495e-12,10,10,80
0.1,-16.6,2.5495e-12,10,10,80
0.1,-16.4,2.5495e-12,10,10,80
0.1,-16.2,2.5495e-12,10,10,80
0.1,-16.0,2.5495e-12,10,10,80
0.1,-15.8,2.5495e-12,10,10,80
0.1,-15.6,2.5495e-12,10,10,80
0.1,-15.4,2.5495e-12,10,10,80
0.1,-15.2,2.5495e-12,10,10,80
0.1,-15.0,2.5495e-12,10,10,80
0.1,-14.8,2.5495e-12,10,10,80
0.1,-14.6,2.5495e-12,10,10,80
0.1,-14.4,2.5495e-12,10,10,80
0.1,-14.2,2.5495e-12,10,10,80
0.1,-14.0,2.5495e-12,10,10,80
0.1,-13.8,2.5495e-12,10,10,80
0.1,-13.6,2.5495e-12,10,10,80
0.1,-13.4,2.5495e-12,10,10,80
0.1,-13.2,2.5495e-12,10,10,80
0.1,-13.0,2.5495e-12,10,10,80
0.1,-12.8,2.5495e-12,10,10,80
0.1,-12.6,2.5495e-12,10,10,80
0.1,-12.4,2.5495e-12,10,10,80
0.1,-12.2,2.5495e-12,10,10,80
0.1,-12.0,2.5495e-12,10,10,80
0.1,-11.8,2.5495e-12,10,10,80
0.1,-11.6,2.5495e-12,10,10,80
0.1,-11.4,2.5495e-12,10,10,80
0.1,-11.2,2.5495e-12,10,10,80
0.1,-11.0,2.5495e-12,10,10,80
0.1,-10.8,2.5495e-12,10,10,80
0.1,-10.6,2.5495e-12,10,10,80
0.1,-10.4,2.5495e-12,10,10,80
0.1,-10.2,2.5495e-12,10,10,80
0.1,-10.0,2.5495e-12,10,10,80
0.1,-9.8,2.5495e-12,10,10,80
0.1,-9.6,2.5495e-12,10,10,80
0.1,-9.4,2.5495e-12,10,10,80
0.1,-9.2,2.5495e-12,10,10,80
0.1,-9.0,2.5495e-12,10,10,80
0.1,-8.8,2.5495e-12,10,10,80
0.1,-8.6,2.5495e-12,10,10,80
0.1,-8.4,2.5495e-12,10,10,80
